AuthCount	author	affiliation
2	Kenyon, Haley L.	University of British Columbia
2	Kleynhans, Elizabeth J.	University of British Columbia
2	Klironomos, John N.	University of British Columbia
2	Kolisko, Martin	University of British Columbia
2	Lalonde, Robert G.	University of British Columbia
2	Leduc-Robert, Geneviève	University of British Columbia
2	Legault, Geoffrey	University of British Columbia
2	MacDonald, A. Andrew M.	University of British Columbia
2	Maddison, Wayne	University of British Columbia
2	Massoumi Alamouti, Sepideh	University of British Columbia
2	Mazel, Florent	University of British Columbia
2	McIntire, Eliot J. B.	University of British Columbia
2	Miller, Sara E.	University of British Columbia
2	Miscampbell, Allyson E.	University of British Columbia
2	Nietlisbach, Pirmin	University of British Columbia
2	Nurkowski, Kristin A.	University of British Columbia
2	Ono, Jasmine	University of British Columbia
2	Pennell, Matthew	University of British Columbia
2	Pennell, Matthew W.	University of British Columbia
2	Percy, Diana M.	University of British Columbia
2	Pither, Jason	University of British Columbia
2	Rankin, Catharine H.	University of British Columbia
2	Renaut, Sebastien	University of British Columbia
2	Rodriguez-Cabal, Mariano A.	University of British Columbia
2	Satterfield, Terre	University of British Columbia
2	Scholer, Micah	University of British Columbia
2	Schuster, Richard	University of British Columbia
2	Schwartz, Naomi	University of British Columbia
2	Scott, Michael F.	University of British Columbia
2	Segre, Paolo S.	University of British Columbia
2	Shurin, Jonathan B.	University of British Columbia
2	Singh, Gerald G.	University of British Columbia
2	Sjodin, Bryson	University of British Columbia
2	Southcott, Laura	University of British Columbia
2	Sunday, Jennifer M.	University of British Columbia
2	Thompson, Patrick L.	University of British Columbia
2	Toews, David P.L.	University of British Columbia
2	Tsui, Clement K. M.	University of British Columbia
2	Turner, Kathryn G.	University of British Columbia
2	Vellend, Mark	University of British Columbia
2	Whitlock, Michael	University of British Columbia
2	Whitton, Jeannette	University of British Columbia
2	Wong, Barbara	University of British Columbia
2	Zhan, Shing H.	University of British Columbia
2	Zhan, Shing Hei	University of British Columbia
2	de Zwaan, Devin R.	University of British Columbia
1	Acheson, Emily Sohanna	University of British Columbia
1	Addo-Danso, Shalom D.	University of British Columbia
1	Al-Abdulrazzak, Dalal	University of British Columbia
1	Amundrud, Sarah	University of British Columbia
1	Amundrud, Sarah Louise	University of British Columbia
1	Andison, David W.	University of British Columbia
1	Andrew, Rose	University of British Columbia
1	Andrew, Rose L	University of British Columbia
1	Angert, Amy	University of British Columbia
1	Anstett, Daniel N.	University of British Columbia
1	Anttila, Katja	University of British Columbia
1	Appleton, Robyn D.	University of British Columbia
1	Arnegard, Matthew E.	University of British Columbia
1	Arnould, John P. Y.	University of British Columbia
1	Askelson, Kenneth K.	University of British Columbia
1	Atwood, Trisha B.	University of British Columbia
1	Baier, Florian	University of British Columbia
1	Baillie, Lyndsey	University of British Columbia
1	Baldwin, Susan A.	University of British Columbia
1	Barbic, David	University of British Columbia
1	Barrett, Spencer C. H.	University of British Columbia
1	Baute, Greg J.	University of British Columbia
1	Bazzicalupo, Anna L.	University of British Columbia
1	Bedford, Nicole L.	University of British Columbia
1	Beiler, Kevin J.	University of British Columbia
1	Bell, Graeme D. M.	University of British Columbia
1	Bennett, Jonathan A.	University of British Columbia
1	Berbee, Mary L.	University of British Columbia
